Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Lovely 1-Bedroom New Apartment Downtown,Toronto,One-Bedroom Apartment,2.2 miles from downtown,Late Escape Deal,$154
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$217
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Downtown Toronto 2 bedrooms with parking,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment with Balcony,0.7 miles from downtown,Late Escape Deal,$265
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Guest room, 1 Queen",0.8 miles from downtown,N/A,$432
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Downtown Toronto Condo Suite,"Downtown Toronto, Toronto",One-Bedroom House,1.1 miles from downtown,N/A,$387
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Stay Inn Hotel Toronto,"Etobicoke, Toronto",Business King Room - Fully Renovated 2021,8.6 miles from downtown,N/A,$158
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Taste Of Little Italy-Proud Canadian Owned,"Little Italy, Toronto (Little Italy)",Deluxe Double Room,1.6 miles from downtown,N/A,$136
2025-10-01,booking.com,2,2025-10-10,2025-10-13,FULL APARTMENT FOR 8 PEOPLE- Entertainment District Toronto,"Financial District, Toronto (Financial District)",Three-Bedroom Apartment,0.4 miles from downtown,N/A,$158
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Pleasant 1BR Sofa Bed Close to UofT,"Downtown Toronto, Toronto",Apartment with Balcony,0.9 miles from downtown,N/A,$203
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Cozy 1 BR & Den Condo in North York Free Parking,"North York, Toronto",One-Bedroom Apartment,7.6 miles from downtown,Late Escape Deal,$143
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard King Room with Mobility Accessible Tub,10.5 miles from downtown,N/A,$132
2025-10-01,booking.com,2,2025-10-10,2025-10-13,The Westlake,"Etobicoke, Toronto",Queen Suite,7 miles from downtown,N/A,$199
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Awesome Studio in Downtown Toronto,"Downtown Toronto, Toronto",Studio Apartment,1.5 miles from downtown,Late Escape Deal,$183
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",King Room,0.7 miles from downtown,N/A,$197
